Date, Time, num_threads, thread_config, DS_config, bucket_count, run_freq, FileRead(ms), PerNodeMerge(ms), SingleThreadMerge(ms), SingleNodeMerge(ms), MultiNodeMerge(ms), TotalLat(ms)
2025-10-14, 15:50:26, 40, numa, numa, 10, 1, 112864.810, 56775.443, 0.164, 0.166, 0.183, 169640.765
2025-10-14, 15:50:50, 40, numa, numa, 100, 1, 14476.125, 6495.137, 0.095, 0.063, 0.081, 20971.502
2025-10-14, 15:50:55, 40, numa, numa, 1024, 1, 1664.734, 1161.794, 0.321, 0.241, 0.225, 2827.316
2025-10-14, 15:50:59, 40, numa, numa, 2048, 1, 1174.054, 513.701, 0.212, 0.201, 0.197, 1688.365
2025-10-14, 15:55:32, 80, numa, numa, 10, 1, 154279.398, 116791.894, 0.264, 0.258, 0.281, 271072.095
2025-10-14, 15:56:02, 80, numa, numa, 100, 1, 12985.856, 14411.811, 0.314, 0.211, 0.246, 27398.438
2025-10-14, 15:56:08, 80, numa, numa, 1024, 1, 1424.026, 1445.171, 0.143, 0.130, 0.035, 2869.505
2025-10-14, 15:56:11, 80, numa, numa, 2048, 1, 742.682, 870.875, 0.189, 0.131, 0.164, 1614.041
2025-10-14, 15:58:36, 40, numa, regular, 10, 1, 89214.288, 54132.987, 0.198, 0.195, 0.243, 143347.912
2025-10-14, 15:58:59, 40, numa, regular, 100, 1, 13185.267, 6730.629, 0.298, 0.208, 0.200, 19916.600
2025-10-14, 15:59:05, 40, numa, regular, 1024, 1, 1592.521, 1094.968, 0.362, 0.252, 0.260, 2688.363
2025-10-14, 15:59:09, 40, numa, regular, 2048, 1, 1052.136, 398.199, 0.124, 0.218, 0.191, 1450.869
2025-10-14, 16:03:07, 80, numa, regular, 10, 1, 125480.940, 110325.395, 0.227, 0.211, 0.246, 235807.019
2025-10-14, 16:03:34, 80, numa, regular, 100, 1, 11020.271, 12736.259, 0.089, 0.135, 0.029, 23756.782
2025-10-14, 16:03:39, 80, numa, regular, 1024, 1, 1149.241, 1335.384, 0.163, 0.152, 0.029, 2484.969
2025-10-14, 16:03:42, 80, numa, regular, 2048, 1, 646.119, 757.699, 0.338, 0.199, 0.154, 1404.509
2025-10-14, 16:06:23, 40, regular, numa, 10, 1, 101933.699, 57382.795, 0.131, 0.171, 0.215, 159317.012
2025-10-14, 16:06:47, 40, regular, numa, 100, 1, 14951.771, 6490.054, 0.318, 0.189, 0.196, 21442.528
2025-10-14, 16:06:53, 40, regular, numa, 1024, 1, 2350.058, 734.006, 0.149, 0.185, 0.187, 3084.585
2025-10-14, 16:06:56, 40, regular, numa, 2048, 1, 1183.104, 459.918, 0.205, 0.165, 0.219, 1643.611
2025-10-14, 16:11:18, 80, regular, numa, 10, 1, 143124.008, 116973.596, 0.348, 0.258, 0.409, 260098.618
2025-10-14, 16:11:47, 80, regular, numa, 100, 1, 13317.346, 13640.602, 0.208, 0.249, 0.299, 26958.705
2025-10-14, 16:11:53, 80, regular, numa, 1024, 1, 1545.170, 1544.086, 0.181, 0.130, 0.119, 3089.686
2025-10-14, 16:11:57, 80, regular, numa, 2048, 1, 852.592, 902.621, 0.183, 0.188, 0.034, 1755.618
2025-10-14, 16:14:28, 40, regular, regular, 10, 1, 92491.579, 56925.445, 0.221, 0.193, 0.184, 149417.622
2025-10-14, 16:14:50, 40, regular, regular, 100, 1, 13235.516, 6402.968, 0.081, 0.105, 0.082, 19638.751
2025-10-14, 16:14:55, 40, regular, regular, 1024, 1, 2152.192, 1141.429, 0.098, 0.043, 0.002, 3293.764
2025-10-14, 16:14:58, 40, regular, regular, 2048, 1, 992.310, 694.395, 0.125, 0.181, 0.153, 1687.164
2025-10-14, 16:18:56, 80, regular, regular, 10, 1, 124320.798, 111238.923, 0.311, 0.242, 0.017, 235560.291
2025-10-14, 16:19:23, 80, regular, regular, 100, 1, 11507.743, 12966.100, 0.387, 0.251, 0.247, 24474.728
2025-10-14, 16:19:28, 80, regular, regular, 1024, 1, 1230.386, 1437.712, 0.237, 0.172, 0.130, 2668.637
2025-10-14, 16:19:31, 80, regular, regular, 2048, 1, 677.827, 892.008, 0.386, 0.168, 0.144, 1570.532
































































